15,4033,102- Duinstraat,132- Montgomery,2025-10-20 17:36:00,2025-10-20 17:40:00,4
15,3206,039- Koxplein,304 - Campinia,2025-10-20 14:18:00,2025-10-20 14:31:00,13
15,3329,076- Prekersplein,028- Keizerstraat,2025-10-20 04:57:00,2025-10-20 04:59:00,2
16,125,049- Tolhuis,071- Sint-Michielskaai,2025-10-20 09:45:00,2025-10-20 09:51:00,6
16,2225,113- Helmstraat,259- Posthofbrug,2025-10-20 11:42:00,2025-10-20 11:55:00,13
46,641,288- Draaiboom,316 - D.E. Van Damme,2025-10-20 22:00:00,2025-10-20 22:02:00,2
46,3527,237- Ter Rivieren,233- Gallifort,2025-10-20 11:24:00,2025-10-20 11:26:00,2
46,1720,135- Loodswezen,033- Hessenhuis,2025-10-20 15:12:00,2025-10-20 15:16:00,4
46,488,132- Montgomery,010- NMBS Zuid,2025-10-20 15:40:00,2025-10-20 15:55:00,15
46,799,096- Stadspark,006- Premetro Plantin,2025-10-20 14:28:00,2025-10-20 14:30:00,2
46,2761,321 - Monnikenplein,161 - Hospitaalplein,2025-10-20 10:48:00,2025-10-20 11:01:00,13
62,727,025- Teniersplaats,027- Lange Nieuwstraat,2025-10-20 13:54:00,2025-10-20 13:56:00,2
62,924,121- Stuivenbergplein,061- Victor Jacobslei,2025-10-20 21:21:00,2025-10-20 21:35:00,14
62,4622,056- Minderbroedersrui,045- Falconplein,2025-10-20 15:58:00,2025-10-20 16:00:00,2
62,4370,064- Zuiderterras,059- Het Steen,2025-10-20 13:28:00,2025-10-20 13:30:00,2
62,3310,119- Ploeg,266- Fruithoflaan 1,2025-10-20 11:30:00,2025-10-20 11:46:00,16
62,3462,150- Waterhoenlaan,183 - Veer LO,2025-10-20 16:56:00,2025-10-20 17:00:00,4
66,1075,125- Sint-Norbertus,274- De Bist,2025-10-20 11:47:00,2025-10-20 12:12:00,25
66,3134,004- De Keyserlei,091- Hemelstraat,2025-10-20 22:21:00,2025-10-20 22:26:00,5
66,3308,119- Ploeg,008- NMBS Berchem 2,2025-10-20 19:07:00,2025-10-20 19:12:00,5
94,4451,131- De Wittestraat,320 - Den Brem,2025-10-20 16:32:00,2025-10-20 16:46:00,14
94,1722,135- Loodswezen,027- Lange Nieuwstraat,2025-10-20 17:27:00,2025-10-20 17:30:00,3
