"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"00be2a1d4c88a8b85e8ab5ae2ddfeaa5","316 - D.E. Van Damme","Dokter Emiel Van Dammestraat",51.18174,4.35805,36,28,8
"0130d63640e42ef29594fd32cdc77843","077- Blauwtorenplein","Frankrijklei - Blauwtorenplein",51.21275,4.40947,36,22,14
"0223de16b14b05373cdd9cdc1d5c2687","112- Pretoriastraat","Uitbreidingstraat",51.20345,4.43684,36,28,8
"02413c0a6096e2d8810878fce8e5db6f","005- Centraal Station / Kievit","Lange Kievitstraat",51.21301,4.42173,35,10,25
"030fd5f36fa2d26c6a98695f58ab8852","261- Brilschans","Henri Prostlaan",51.18863,4.42959,36,18,18
"03c36f67747e0089c1d09ad8c7dec052","049- Tolhuis","Sint-Pietersvliet - Tolhuis",51.22576,4.40092,27,8,19
"0547d3801b3801ccdc2ad3ffee01d3f5","157- Borsbeeksebrug","Borsbeekbrug tegenover masterbuilding politie",51.20145,4.4354,32,15,17
"059a6574cc7d8abdc618ae333fa98dd2","315 - Elsdonk","Elsdoncklaan",51.16985,4.42363,36,22,14
"065cef555be618888cc9987516bfe99f","310 - Sporthal Sorghvliedt","Krijgsbaan",51.16719,4.35356,36,24,12
"090155d66c38be867ed9790225d52a88","011- Roosevelt","Osystraat",51.22203,4.4184,36,36,0
"09336f472de65551754ae30e8d434d53","142- Esmoreitlaan","Esmoreitlaan",51.23344,4.38254,36,24,12
"09582319d3b27c1340c7261533c8b0ae","091- Hemelstraat","Mechelsesteenweg n° 66",51.20882,4.4083,18,18,0
"0ad9f7c160cdb6e661dcad5ed56e8c09","081- Justitiepaleis","Bolivarplaats rechts van het gerechtsgebouw",51.20468,4.38767,26,11,15
"0b9c2d22781ee47d5d69e0395a216336","033- Hessenhuis","Hessenplein n° 2",51.22622,4.40965,21,13,8
"0be1283288ecad3358b7b82ec2a14c03","260- Ter Schrieck","Hof ter Schriecklaan",51.18964,4.42166,27,27,0
"0f0458db3b6fdead4268f6dc39a48408","208- Ringlaan Atheneum","Ringlaan",51.25451,4.45469,36,21,15
"109a52b179b67b931bf86f2c19056380","017- Groenplaats","Groenplaats n° 7",51.21888,4.4012,17,5,12
"11e13c5a03d7257eb6c817bdb0fb53a7","167 - Fod Financiën 2","Italielei",51.22845,4.41339,30,14,16
"125437e303065a8c16da8550cc89ff69","272- Groenenborger","Groenenborgerlaan",51.17786,4.42165,30,16,14
"152b68117dffea62d338d746536b71f7","298- Koornbloem","Valkstraat",51.1719,4.38237,27,10,17
"15a73b415d7e3c56b529d81c52a367da","326 - Krugerbrug","Krugerbrug tov Lageweg 342",51.18744,4.36347,35,22,13
"1700961d3df2042766cbeab4efa7bb38","248- De Schans","De Schans",51.20598,4.44925,36,29,7
"17b3f821c6a8c4fd1d99f57fec74641c","202- Squarepark","Dublinstraat",51.25727,4.42164,23,12,11
"17f0bde7eec81ec1bf09dd7b905e7dbb","040- Desguinlei","Desguinlei to 246",51.19676,4.39662,35,29,6
"18716b0cdb5e7ec327fcbd38c7587840","080- Montigny","Amerikalei/Graaf Van Hoornestraat",51.20607,4.39339,35,22,13
"18819acb33f24f6af898b365f8f93a4c","099- Generaal Leman","Generaal Lemanstraat - Karel Oomsstraat",51.1973,4.41048,23,10,13
"18c99ad3b5b7e5a496a068c8495d792d","185 - Kwadevelden","Winterkoningstraat",51.25848,4.44179,30,18,12
"18e6b31c435ecfdbc8257f6f5a461ba8","104- Mercator","Provinciestraat - Mercatorstraat",51.20821,4.42429,18,16,2
"194021868cfc92dac14c65338ba5dd49","132- Montgomery","Maarschalk Montgomeryplein ro n° 4",51.21177,4.43779,18,13,5
"19bdfc8539c70ec8b155b73b0b4d2093","174- Offerande","Korte Winkelhaakstraat - Offerandestraat",51.21954,4.4233,36,22,14
"19bf0dc41e363f1ab30da6d95b9c63dc","280- Marmotteke","Bosheidelaan",51.17672,4.38242,34,26,8
"1b69087883141a40de3c3bfdefeac237","304 - Campinia","Campiniastraat",51.24007,4.4338,36,32,4
"1bf4875468b53cf2ede63be668cc27d9","161 - Hospitaalplein","Henri La Fontainestraat",51.20356,4.42566,30,22,8
"1cbe05a7a5803d03e4f2efa50852ada9","165- Den Roscam","Paardenmarkt",51.22516,4.40899,36,17,19
"1cffe37fc0f7627b8e89cab902d53ee9","060- Grote Markt","Wisselstraat 9",51.22166,4.40056,36,24,12
"1ee31ae13b925f21c18fe2006b202f5e","323 - Sint-Augustinus","Oosterveldlaan",51.17535,4.41892,35,18,17
"1ff77d266e5fb8c5edcbfb00d012d323","163 - Pluvier","Galgenweellaan",51.21748,4.37798,36,21,15
"204e32c51e13444aa10a355331106bf6","227- Amstel","Van Amstelstraat",51.23276,4.44433,24,11,13
"204f8e64062ab333586d227bf53d54f6","288- Draaiboom","Draaiboomstraat",51.17732,4.35972,35,16,19
"2056be50d93d1f9912740572ad42ee5e","186 - Universiteitsplein","Krijgslaan",51.16362,4.40032,36,5,31
"20a867464a5bcd268680ef2f52cdbaf6","006- Premetro Plantin","Mercatorstraat",51.21032,4.42218,24,23,1
"259d1217376db18a9a68ac054c155f1e","222- Cadix Oost","Binnenvaartstraat",51.23334,4.41391,36,24,12
"25c06e3fc2cdffc1eccdc1ef1bd9e350","203- Venezuelastraat","Venezuelastraat",51.25361,4.42317,36,29,7
"263cf7673067fa157a45a25347fd11cb","097- Cuperus","Cuperusstraat ro Lange Leemstraat",51.20278,4.42883,20,11,9
"2689889245fb0a1eceddcad8658d5165","155- Statielei","Statielei",51.2162,4.44564,36,20,16
"26b2dc2b0eab6d16ca5b1a24df4ebf53","110- Dageraadplaats","Dageraadplaats",51.20694,4.4301,36,28,8
"26eab3c2e17c8f488088985a9dac032a","023- Hopland","Hopland - Meistraat",51.21649,4.41042,35,7,28
"27190c4af0eb870f1494042bf702194a","096- Stadspark","Rubenslei - Louiza - Marialei",51.21328,4.41311,22,19,3
"274e4da5a453dc8f40ef3c681021ded1","027- Lange Nieuwstraat","Lange Nieuwstraat 101",51.2195,4.41195,36,15,21
"2862be4fc377115e12cd305373f4b059","319 - Schaliemolen","Schaliemolenstraat",51.17284,4.40517,30,13,17
"289bfc9f0e8bd5eaf4a89e43498b1847","105- Plantin en Moretus","Lange van Ruusbroekstraat",51.20902,4.43157,33,31,2
"29a39ccd84ae9a4e90cf5e31e6b5215a","318 - De Burlet","De Burletlaan",51.17082,4.42902,28,22,6
"2a36bbe236e10b35ff9d7cff85f2323d","152- Blancefloerlaan","Blancefloerlaan",51.22007,4.37559,35,25,10
"2b83e47cd5acdb6094c047b5ec4c4499","242- Te Boelaerlei","Te Boelaerlei",51.21043,4.45251,36,31,5
"2bf256f629552625bc7ed2dfda069acd","076- Prekersplein","Nationalestraat/Lange Vlierstraat",51.21404,4.39809,22,17,5
