X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
490805.434734077,6661741.33035382,85160,VELOSTATION,ENKELZIJDIG,VOETPAD,Godefriduskaai,,thv Q-park,Antwerpen,2000,VE_0000129,IN_GEBRUIK,36,129 Godefriduskaai
492111.727146252,6659889.10721691,85161,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein,,to station 1,Antwerpen,2018,VE_0000002,IN_GEBRUIK,36,002 Centraal station Astrid 2
491186.934469418,6659990.42682704,85162,VELOSTATION,ENKEL-DUBBELZIJDIG,VOETPAD,Meir,84,,Antwerpen,2000,VE_0000026,IN_GEBRUIK,33,026 Meir-Antoon Van Dijck
490256.23271047,6660129.95465012,85163,VELOSTATION,ENKELZIJDIG,VOETPAD,Eiermarkt,12,,Antwerpen,2000,VE_0000019,BUITEN_GEBRUIK,24,019 Eiermarkt
489878.999118811,6660068.07404236,85164,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Groenkerkhofstraat,2,thv Nationalestraat,Antwerpen,2000,VE_0000020,IN_GEBRUIK,27,020 Groenplaats 2
488424.477912633,6658573.20132932,85165,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Cockerillkaai,,,Antwerpen,2000,VE_0000035,IN_GEBRUIK,36,035 Cockerillkaai
489387.628905156,6657587.47548489,85166,VELOSTATION,ENKEL-DUBBELZIJDIG,VOETPAD,Paleisstraat,147,,Antwerpen,2018,VE_0000094,IN_GEBRUIK,33,094 Paleisstraat
488707.472812587,6656639.99841919,85167,VELOSTATION,DUBBELZIJDIG,GROENZONE,Singel,,tssn Singel/Brederodestraat,Antwerpen,2018,VE_0000012,IN_GEBRUIK,36,012 Brussel
491101.593410848,6660217.92747582,85168,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Nieuwstraat,105,,Antwerpen,2000,VE_0000027,IN_GEBRUIK,36,027 Lange Nieuwstraat
491849.271857856,6657783.70546976,85169,VELOSTATION,ENKELZIJDIG,VOETPAD,Belgiëlei,99,,Antwerpen,2018,VE_0000044,IN_GEBRUIK,36,044 Belgiëlei
492308.146220241,6658513.04659803,85170,VELOSTATION,ENKELZIJDIG,VOETPAD,Mercatorstraat,18,to 18,Antwerpen,2018,VE_0000006,IN_GEBRUIK,24,006 Premetro Plantin
492896.52179314,6658558.20563477,85171,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Van Der Meydenstraat,123,,Borgerhout,2140,VE_0000111,IN_GEBRUIK,30,111 Van Der Meyden
493385.519365404,6661025.77808601,85172,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Stuivenbergstraat,86-88,to 86-88,Antwerpen,2060,VE_0000101,IN_GEBRUIK,36,101 Premetro Handel
494172.324085209,6661653.47340548,85173,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Schijnpoortweg,27-29,,Antwerpen,2060,VE_0000120,IN_GEBRUIK,24,120 Eendracht
487434.509500665,6662329.69680895,85174,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan,7,to 7,Antwerpen,2050,VE_0000144,IN_GEBRUIK,36,144 August Vermeylenlaan
487419.284471926,6661717.23632464,85175,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan,,charles de costerlaan,Antwerpen,2050,VE_0000145,IN_GEBRUIK,24,145 De Coster
488200.917307756,6660015.59957358,85176,VELOSTATION,ENKELZIJDIG,GROENZONE,Beatrijslaan,42,,Antwerpen,2050,VE_0000153,IN_GEBRUIK,36,153 Beatrijslaan
487089.781480447,6660309.17111845,85177,VELOSTATION,DUBBELZIJDIG,VOETPAD,Blancefloerlaan,163-165,,Antwerpen,2050,VE_0000152,IN_GEBRUIK,36,152 Blancefloerlaan
488295.905193026,6660407.52358694,85178,VELOSTATION,ENKELZIJDIG,VOETPAD,Blancefloerlaan,,to frederick van eedenplein,Antwerpen,2050,VE_0000149,IN_GEBRUIK,36,149 Van Eedenplein
487861.749493456,6662680.60539473,85179,VELOSTATION,ENKELZIJDIG,VOETPAD,Esmoreitlaan,13,thv lodewijk van veltheimlaan,Antwerpen,2050,VE_0000142,IN_GEBRUIK,36,142 Esmoreitlaan
488272.6314739,6660848.82815057,85180,VELOSTATION,ENKELZIJDIG,VOETPAD,Frederik Van Eedenplein,4,to 4,Antwerpen,2050,VE_0000148,IN_GEBRUIK,36,148 Verhaerenlaan
488166.12097089,6662302.46242313,85181,VELOSTATION,ENKELZIJDIG,VOETPAD,Bouvaertlaan,,hoek M. Stokelaan en Bouvaertlaan,Antwerpen,2050,VE_0000143,IN_GEBRUIK,36,143 Melis Stokelaan
488346.301002865,6663000.68825213,85182,VELOSTATION,ENKELZIJDIG,VOETPAD,Gloriantlaan,,thv kastanjedreef,Antwerpen,2050,VE_0000141,IN_GEBRUIK,36,141 Sint-Anna
488873.15401519,6662312.1150709,85183,VELOSTATION,ENKELZIJDIG,VOETPAD,Thonetlaan,,to jachthaven,Antwerpen,2050,VE_0000140,IN_GEBRUIK,36,140 Jachthaven LO
487343.508616647,6661014.87300308,85184,VELOSTATION,ENKELZIJDIG,VOETPAD,Halewijnlaan,88,,Antwerpen,2050,VE_0000147,IN_GEBRUIK,24,147 Halewijnlaan
488233.350152898,6661666.60327977,85185,VELOSTATION,ENKELZIJDIG,VOETPAD,Reinaartlaan,,thv gloriantlaan,Antwerpen,2050,VE_0000146,IN_GEBRUIK,33,146 Reinaartlaan
487770.418706866,6660303.69959939,85186,VELOSTATION,ENKELZIJDIG,VOETPAD,Waterhoenlaan,12,,Antwerpen,2050,VE_0000150,IN_GEBRUIK,24,150 Waterhoenlaan
490203.957902571,6662318.3649562,85187,VELOSTATION,DUBBELZIJDIG,VOETPAD,Amsterdamstraat,,thv rijnkaai,Antwerpen,2000,VE_0000138,IN_GEBRUIK,24,138 Amsterdamstraat
491181.227121347,6662269.9986141,85188,VELOSTATION,ENKELZIJDIG,VOETPAD,Londenstraat,53,,Antwerpen,2000,VE_0000139,IN_GEBRUIK,21,139 Londenstraat
490438.007637572,6662032.19096765,85189,VELOSTATION,DUBBELZIJDIG,VOETPAD,Sint-Laureiskaai,,,Antwerpen,2000,VE_0000137,IN_GEBRUIK,36,137 Sint-Laureiskaai
489858.376366326,6660581.67247273,85190,VELOSTATION,ENKELZIJDIG,VOETPAD,Wisselstraat,12,to 12,Antwerpen,2000,VE_0000060,IN_GEBRUIK,36,060 Grote Markt
491293.441035344,6661769.19594262,85191,VELOSTATION,DUBBELZIJDIG,VOETPAD,Italiëlei,4,thv FOD financien,Antwerpen,2000,VE_0000127,IN_GEBRUIK,30,127 FOD Financiën
490438.074490689,6656163.67755806,85192,VELOSTATION,ENKELZIJDIG,VOETPAD,Jan Van Rijswijcklaan,86,,Antwerpen,2018,VE_0000014,IN_GEBRUIK,36,014 Markgrave
490134.318527475,6660969.73767682,85193,VELOSTATION,ENKELZIJDIG,VOETPAD,Sint-Paulusstraat,42,thv lange koepoortstraat,Antwerpen,2000,VE_0000050,IN_GEBRUIK,21,050 Klapdorp
490834.887894497,6658963.88247386,85194,VELOSTATION,ENKELZIJDIG,VOETPAD,Oudevaartplaats,,thv frankrijklei,Antwerpen,2000,VE_0000077,IN_GEBRUIK,36,077 Blauwtorenplein
489022.846041466,6657806.20140906,85195,VELOSTATION,ENKELZIJDIG,VOETPAD,Amerikalei,162,graaf van hoorplein thv graaf van hoornstraat,Antwerpen,2000,VE_0000080,IN_GEBRUIK,36,080 Montigny
489396.228818048,6656188.16663708,85196,VELOSTATION,ENKELZIJDIG,VOETPAD,Desguinlei,246,to 246 oh plein,Antwerpen,2018,VE_0000040,IN_GEBRUIK,36,040 Desguinlei 
493150.203453236,6660729.25374319,85197,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Duinstraat,83-87,,Antwerpen,2060,VE_0000102,IN_GEBRUIK,36,102 Duinstraat
491919.382542175,6661729.81474346,85198,VELOSTATION,DUBBELZIJDIG,VOETPAD,Lange Dijkstraat,46,thv van aerdtstraat,Antwerpen,2060,VE_0000126,IN_GEBRUIK,36,126 Lange Dijk
489577.270452332,6659256.10974194,85199,VELOSTATION,ENKELZIJDIG,PLEIN,Nationalestraat,111-113,to 111-113 thv lange vlierstraat,Antwerpen,2000,VE_0000076,IN_GEBRUIK,24,076 Prekersplein
491494.733825292,6657385.61398919,85200,VELOSTATION,ENKELZIJDIG,VOETPAD,Belgiëlei,157,thv Greterystraat,Antwerpen,2018,VE_0000043,IN_GEBRUIK,30,043 Grétrystraat
493586.983956208,6656924.58612362,85201,VELOSTATION,ENKELZIJDIG,PLEIN,Burgemeester E. Ryckaertsplein,,NMBS station Berchem,Berchem,2600,VE_0000008,IN_GEBRUIK,30,008 NMBS Berchem 2
493897.410031705,6657360.41221604,85202,VELOSTATION,DUBBELZIJDIG,VOETPAD,Uitbreidingstraat,578,,Berchem,2600,VE_0000112,IN_GEBRUIK,36,112 Pretoriastraat
489417.082926185,6658555.09961678,85203,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Karel Rogierstraat,2-4,,Antwerpen,2000,VE_0000016,IN_GEBRUIK,27,016 Marnixplaats
494479.843603743,6658750.96532501,85204,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Fonteinstraat,70,to 70,Borgerhout,2140,VE_0000069,IN_GEBRUIK,36,069 Fonteinstraat
487421.834851221,6660367.13760744,85205,VELOSTATION,DUBBELZIJDIG,GROENZONE,Blancefloerlaan,48a,to 48a middenberm thv halewijnlaan,Antwerpen,2050,VE_0000151,IN_GEBRUIK,36,151 Van Cauwelaert
491780.051261861,6659935.11798321,85206,VELOSTATION,ENKELZIJDIG,VOETPAD,De Keyserlei,,verplaatst nr Anneessenstraat,Antwerpen,2018,VE_0000024,IN_GEBRUIK,30,024 Opera
491481.723704003,6656631.47469085,85207,VELOSTATION,ENKELZIJDIG,VOETPAD,Grotesteenweg,,thv Boomgaardstraat,Berchem,2600,VE_0000046,BUITEN_GEBRUIK,36,046 De Merode
492434.564366156,6657029.14362731,85208,VELOSTATION,DUBBELZIJDIG,VOETPAD,Boomgaardstraat,,thv militair hospitaal,Antwerpen,2018,VE_0000047,IN_GEBRUIK,36,047 Militair Hospitaal
492644.253663323,6659492.63801449,85209,VELOSTATION,DUBBELZIJDIG,PLEIN,Provinciestraat,81,to 81,Antwerpen,2018,VE_0000119,IN_GEBRUIK,24,119 Ploeg
492411.126714094,6661379.56910708,85210,VELOSTATION,ENKELZIJDIG,VOETPAD,Van Kerckhovenstraat,16,to 16 thv st-norbertusstraat,Antwerpen,2060,VE_0000125,IN_GEBRUIK,36,125 Sint-Norbertus
490497.178571799,6660813.93049338,85211,VELOSTATION,DUBBELZIJDIG,PLEIN,Mutsaardstraat,,mutsaardplein thv blindestraat,Antwerpen,2000,VE_0000051,IN_GEBRUIK,36,051 Mutsaardplein
